,,RA,,,Dec,,,,,,,,,
Galaxy Number,Name,H,M,S,Deg,Arcmin,Arcsec,Lambda Obs. H,"Lambda Obs, K",z H-Line,z K-line,vrad H-Line,vrad K-line,Avg vrad (km/s)
1,1202 3127,12,2,10.2,31,27,20,4067,4033,0.02473,0.02525,7419,7575.4,7497.2
2,NGC 4080,12,2,18.5,27,16,15,3977,3942,0.00205,0.00212,616,635.3,625.7
3,NGC 4104,12,4,6,28,27,10,4075,4040,0.02675,0.02703,8023.7,8109.2,8066.5
4,NGC 4131,12,6,12,29,35,0,4018.1,3982.2,0.01241,0.01234,3722.6,3700.9,3711.8
5,NGC 4132,12,6,30,29,31,0,4023.3,3987.4,0.01371,0.01366,4112.7,4098.9,4105.8
6,NGC 4134,12,6,36,29,27,0,4018.5,3983.3,0.0125,0.01261,3750.8,3781.6,3766.2
7,1206 3151,12,6,36,31,51,0,4057.8,4022.3,0.02242,0.02252,6725.6,6757.4,6741.5
8,NGC 4136,12,6,48,30,12,0,3977,3942,0.00206,0.00211,619.5,632.6,626
9,NGC 4150,12,8,0,30,41,0,3971.3,3936.6,0.00061,0.00075,184.2,223.7,203.9
10,NGC 4173,12,9,48,29,29,0,3983.4,3948.4,0.00365,0.00374,1096.3,1121.1,1108.7
11,NGC 4174,12,9,54,29,25,0,4020.7,3985.3,0.01305,0.01313,3915.9,3938.2,3927.1
12,NGC 4175,12,9,59.1,29,26,48,4020.7,3984.8,0.01306,0.013,3919.1,3899.9,3909.5
13,NGC 4185,12,10,48,28,47,0,4020.9,3984.7,0.01312,0.01298,3935.9,3894.1,3915
14,NGC 4196,12,11,54,28,42,0,4022.6,3986.5,0.01353,0.01343,4059.9,4028.3,4044.1
15,NGC 4211A,12,13,4.2,28,27,18,4057.1,4021,0.02224,0.02221,6671.5,6662.2,6666.8
16,1214 2900,12,14,12,29,0,27,3985.5,3950.6,0.00419,0.00431,1255.6,1293.2,1274.4
17,NGC 4245,12,15,6,29,53,0,3980.3,3945.3,0.00289,0.00296,868.1,887.8,877.9
18,NGC 4251,12,15,36,28,27,0,3982.3,3947.7,0.0034,0.00356,1018.7,1068,1043.3
19,NGC 4253,12,15,55.6,30,5,26,4019.9,3984.1,0.01287,0.01281,3860.8,3843.9,3852.3
20,IC 777,12,16,54,28,35,0,4001.3,3965.6,0.00816,0.00812,2449.5,2435.8,2442.6
21,NGC 4274,12,17,18,29,53,0,3980.3,3945,0.00289,0.00287,867,860.9,863.9
22,NGC 4272,12,17,18,30,37,0,4080.8,4044.6,0.02821,0.0282,8463.8,8458.9,8461.4
23,NGC 4275,12,17,24,27,54,0,3998.5,3963.1,0.00746,0.00748,2238.6,2244.9,2241.8
24,NGC 4278,12,17,36.2,29,33,31,3976.8,3941.5,0.002,0.00198,599.8,594.7,597.2
25,NGC 4283,12,17,49.8,29,35,12,3969.7,3934.5,0.00022,0.00022,67.2,66.3,66.7
26,1217 3127,12,17,54,31,27,0,4057.2,4021.8,0.02226,0.0224,6678.9,6721.3,6700.1
27,NGC 4286,12,18,12,29,38,0,3976.9,3941.9,0.00202,0.0021,606.8,629.8,618.3
28,NGC 4308,12,19,24,30,20,0,3977,3941.7,0.00205,0.00204,615.6,613.3,614.4
29,NGC 4310,12,19,54,29,29,0,3980.4,3945.3,0.00292,0.00296,875.7,888.9,882.3
30,NGC 4314,12,20,0,30,10,0,3981.3,3946.2,0.00315,0.00318,944,954.9,949.5
31,NGC 4359,12,21,42,31,48,0,3984.8,3949.4,0.00402,0.00399,1206.2,1197.8,1202
32,NGC 4375,12,22,30.6,28,50,6,4088.8,4052.7,0.03023,0.03025,9068.8,9074.3,9071.5
33,NGC 4393,12,23,18,27,50,0,3978.7,3943.3,0.00248,0.00244,742.8,731.6,737.2
34,NGC 4414,12,24,0,31,30,0,3977.9,3942.6,0.00228,0.00226,685,677.3,681.2
35,IC 3376,12,25,18,27,16,0,4063.1,4026.8,0.02375,0.02367,7124.4,7102.2,7113.3
36,NGC 4448,12,25,48,28,54,0,3977.9,3942.4,0.00229,0.00222,686.6,665.1,675.9
37,IC 3407,12,26,30,28,4,0,4061.6,4025.3,0.02337,0.02329,7011.9,6986.7,6999.3
38,NGC 4475,12,27,18,27,32,0,4066.1,4029.7,0.02451,0.02442,7352.9,7325.4,7339.2
39,NGC 4495,12,28,54,29,25,0,4028,3992.3,0.01491,0.01492,4473.3,4474.7,4474
40,1229 2959,12,29,18,29,59,0,3977.4,3942.6,0.00217,0.00227,649.9,682,666
41,NGC 4514,12,30,6,30,0,0,4076.3,4039.9,0.02708,0.02702,8125.3,8104.9,8115.1
